typename,howManyDistantTypes,howManyReachableTypes,difference
Acid tests,2,1,1
Bibliography file formats,2,1,1
Books about Perl,2,1,1
C compilers,2,1,1
CSS frameworks,2,1,1
Cairo (graphics),2,1,1
Discontinued programming languages,2,1,1
Domain theory,2,1,1
Ecma standards,2,1,1
Formal specification languages,2,1,1
Free HTML editors,2,1,1
Free PDF software,2,1,1
Free R (programming language) software,2,1,1
Free TeX software,2,1,1
GNOME Games,2,1,1
GNOME companies,2,1,1
GNOME developers,2,1,1
GNOME stubs,2,1,1
Geographical databases,2,1,1
HTML,2,1,1
HTML editors,2,1,1
Hardware description languages,2,1,1
Java APIs,2,1,1
JavaScript libraries,2,1,1
JavaServer Faces,2,1,1
KDE Education Project,2,1,1
Mathematical markup languages,2,1,1
Mono (software),2,1,1
Non-English-based programming languages,2,1,1
OpenDocument,2,1,1
Package management software that uses GTK+,2,1,1
Parser generators,2,1,1
Perl people,2,1,1
Programming languages by creation date,2,1,1
Programming languages created in 2009,2,1,1
Programming languages created in 2011,2,1,1
Programming languages created in 2012,2,1,1
Programming languages created in 2013,2,1,1
Programming languages created in 2014,2,1,1
Programming languages created in 2015,2,1,1
Proof assistants,2,1,1
Query languages,2,1,1
Social Desktop,2,1,1
Software for modeling software,2,1,1
Software modeling language,2,1,1
Software that uses FLTK,2,1,1
Software that uses QML,2,1,1
Software that uses Qt,2,1,1
Software that uses Tk,2,1,1
Structured English,2,1,1
Symbian games,2,1,1
SyncML,2,1,1
TYPO3,2,1,1
Web syndication formats,2,1,1
XML-based standards,2,1,1
Zope,2,1,1
GNU GRUB,3,2,1
LibreOffice,3,2,1
R (programming language),4,3,1
Spreadsheet software,4,3,1
Audio programming languages,3,1,2
Computer algebra systems,3,1,2
Freedesktop.org,3,1,2
GIS file formats,3,1,2
Haiku (operating system),3,1,2
Instant messaging clients programmed in Java,3,1,2
Java platform software,3,1,2
KDE games,3,1,2
Microsoft BASIC,3,1,2
PDF software,3,1,2
Pattern matching programming languages,3,1,2
Petri nets,3,1,2
PostgreSQL,3,1,2
Process termination functions,3,1,2
Programming languages,3,1,2
Resource Description Framework,3,1,2
Software that uses wxWidgets,3,1,2
Specification languages,3,1,2
KDE Software Compilation,4,2,2
KDE software,4,2,2
Microformats,4,2,2
Concept- and mind-mapping software programmed in Java,4,1,3
GNOME,4,1,3
GTK+,4,1,3
Java platform games,4,1,3
Programming games,4,1,3
S60 (software platform),4,1,3
Simple DirectMedia Layer,4,1,3
Symbian OS,4,1,3
Symbian software,4,1,3
Z notation,4,1,3
Unified Modeling Language,5,2,3
WxWidgets,5,2,3
Calligra Suite,5,1,4
Hadoop,5,1,4
Process calculi,5,1,4
Temporal logic,5,1,4
Translatewiki.net,5,1,4
OpenOffice,6,2,4
Denotational semantics,6,1,5
Google Chrome,6,1,5
Responsive web design,7,2,5
KDE Frameworks,8,3,5
KDE Platform,8,3,5
Ren'Py games and visual novels,8,1,7
Qt (framework),10,1,9
