toptype1name,toptype2name,entityname
Data modeling languages,Programming languages,XSLT/Muenchian grouping
Data modeling languages,Programming languages,Face Modeling Language
Data modeling languages,Programming languages,Digital Forensics XML
Data modeling languages,Programming languages,XL (XML programming language)
Data modeling languages,Programming languages,Scalable Vector Graphics
Data modeling languages,Programming languages,Inkscape
Data modeling languages,Programming languages,Sodipodi
Data modeling languages,Programming languages,GPAC Project on Advanced Content
Data modeling languages,Programming languages,Librsvg
Data modeling languages,Programming languages,WiseMapping
Data modeling languages,Programming languages,Batik (software)
Data modeling languages,Programming languages,XMDP
Data modeling languages,Programming languages,R2ML
Data modeling languages,Programming languages,RuleML
Data modeling languages,Programming languages,XPointer
Data modeling languages,Programming languages,XQuery and XPath Data Model
Data modeling languages,Programming languages,XPath 3
Data modeling languages,Programming languages,Fxgrep
Data modeling languages,Programming languages,XPath
Data modeling languages,Programming languages,XPath 2.0
Data modeling languages,Programming languages,Language Integrated Query
Data modeling languages,Programming languages,CODASYL
Data modeling languages,Programming languages,.QL
Data modeling languages,Programming languages,Data Base Task Group
Data modeling languages,Programming languages,Pig (programming tool)
Data modeling languages,Programming languages,Embedded SQL
Data modeling languages,Programming languages,SQLf
Data modeling languages,Programming languages,TimeML
Data modeling languages,Programming languages,Data definition language
Data modeling languages,Programming languages,Java Persistence Query Language
Data modeling languages,Programming languages,Schematron
Data modeling languages,Programming languages,XML
Data modeling languages,Programming languages,SQL
Data modeling languages,Programming languages,Mallard (documentation)
Data modeling languages,Programming languages,CodeSynthesis XSD
Data modeling languages,Programming languages,FuseDocs (programming)
Data modeling languages,Programming languages,Resource Description Framework
Data modeling languages,Programming languages,Office Open XML file formats
Data modeling languages,Programming languages,XEE (Starlight)
Data modeling languages,Programming languages,VTD-XML
Data modeling languages,Programming languages,Arbortext Command Language
Data modeling languages,Programming languages,EXtensible Server Pages
Data modeling languages,Programming languages,Office Open XML
Data modeling languages,Programming languages,XMLHttpRequest
Data modeling languages,Programming languages,Vector Markup Language
Data modeling languages,Programming languages,BaseX
Data modeling languages,Programming languages,Open XML Paper Specification
Data modeling languages,Programming languages,ECMAScript for XML
Data modeling languages,Programming languages,XMLSpy
Data modeling languages,Programming languages,Virtuoso Universal Server
Data modeling languages,Programming languages,Libxslt
Data modeling languages,Programming languages,Xalan
Data modeling languages,Programming languages,Ajax (programming)
Data modeling languages,Programming languages,AxsJAX
Data modeling languages,Programming languages,Push technology
Data modeling languages,Programming languages,Ext JS
Data modeling languages,Programming languages,JsPHP
Data modeling languages,Programming languages,24SevenOffice
Data modeling languages,Programming languages,Jpspan
Data modeling languages,Programming languages,Google APIs
Data modeling languages,Programming languages,Qooxdoo
Data modeling languages,Programming languages,ZK (framework)
Data modeling languages,Programming languages,AngularJS
Data modeling languages,Programming languages,Ember.js
Data modeling languages,Programming languages,Bindows
Data modeling languages,Programming languages,ICEfaces
Data modeling languages,Programming languages,Comparison of JavaScript-based source code editors
Data modeling languages,Programming languages,DWR (Java)
Data modeling languages,Programming languages,Hijax
Data modeling languages,Programming languages,Dojo Toolkit
Data modeling languages,Programming languages,JSONP
Data modeling languages,Programming languages,Prototype JavaScript Framework
