entityname,subtypename,typename
Bistro Framework,.NET programming languages,.NET Framework
Hamilton C shell,Programming languages created in 1988,1988 software
Microsoft Access,Programming languages created in 1992,1992 software
TypeScript,Programming languages created in 2012,2012 introductions
Julia (programming language),Programming languages created in 2012,2012 software
Swift (programming language),Programming languages created in 2014,2014 introductions
Symbian,Symbian OS,ARM operating systems
GNAT,Free software programmed in Ada,Ada (programming language)
GNAT Programming Studio,Free software programmed in Ada,Ada (programming language)
SPARK (programming language),Ada (programming language),Ada programming language family
Ravenscar profile,Ada (programming language),Ada programming language family
COLT (software),ActionScript,Adobe Flash
ActionScript,ActionScript,Adobe Flash
JSONP,JSON,Ajax (programming)
JSON,JSON,Ajax (programming)
SPARK (programming language),Ada (programming language),Algol programming language family
ALGOL 60,ALGOL 60,Algol programming language family
ALGOL 68,ALGOL 68,Algol programming language family
ALGOL,ALGOL 60 dialect,Algol programming language family
NELIAC,ALGOL 58 dialect,Algol programming language family
Structured English,Structured English,Algorithm description languages
Natural language programming,Structured English,Algorithm description languages
Apache Hive,Hadoop,Apache Software Foundation projects
Apache Accumulo,Hadoop,Apache Software Foundation projects
Open Inventor,Software that uses Qt,Application programming interfaces
GTK+,Software that uses Cairo,Application programming interfaces
Qt (software),Qt (framework),Application programming interfaces
Qt (software),S60 (software platform),Application programming interfaces
WebKit,Software that uses Cairo,Application programming interfaces
ThreadWeaver,KDE Frameworks,Application programming interfaces
ThreadWeaver,KDE Platform,Application programming interfaces
KDE Platform 4,KDE Platform,Application programming interfaces
Pygame,Simple DirectMedia Layer,Application programming interfaces
Advanced Component Framework,Software that uses Qt,Application programming interfaces
Simple DirectMedia Layer,Simple DirectMedia Layer,Application programming interfaces
SMPEG,Simple DirectMedia Layer,Application programming interfaces
Fortran,Fortran programming language family,Array programming languages
Fortran,Fortran,Array programming languages
Fortress (programming language),Fortran programming language family,Array programming languages
FreeMat,Free software programmed in Fortran,Array programming languages
Scilab,Free software programmed in Fortran,Array programming languages
FASM,Assemblers,Assembly languages
FASM,Free software primarily written in assembly language,Assembly languages
Fresh (IDE),Free software primarily written in assembly language,Assembly languages
IBM Basic assembly language and successors,Software written primarily in assembly language,Assembly languages
Machine code,Machine code,Assembly languages
Cross assembler,Assemblers,Assembly languages
Macro assembler,Assemblers,Assembly languages
Addressing mode,Machine code,Assembly languages
IBM High Level Assembler,Assemblers,Assembly languages
High Level Assembly,Assemblers,Assembly languages
Ecasound,Audio editing software that uses GTK+,Audio editing software for Linux
Sound Object (SndObj) Library,Audio programming languages,Audio libraries
JSyn,Audio programming languages,Audio libraries
Simple DirectMedia Layer,Simple DirectMedia Layer,Audio libraries
Vilnius BASIC,Discontinued BASICs,BASIC programming language
MacBASIC,Discontinued BASICs,BASIC programming language
Basic-256,BASIC interpreters,BASIC programming language
FreeBASIC,Free software programmed in BASIC,BASIC programming language family
FreeBASIC,BASIC compilers,BASIC programming language family
BCX,Free software programmed in BASIC,BASIC programming language family
Gambas,BASIC interpreters,BASIC programming language family
Gambas,Free software programmed in BASIC,BASIC programming language family
Gambas,BASIC compilers,BASIC programming language family
Integer BASIC,BASIC interpreters,BASIC programming language family
BBC BASIC,BASIC interpreters,BASIC programming language family
Turbo-Basic XL,BASIC interpreters,BASIC programming language family
Turbo-Basic XL,BASIC compilers,BASIC programming language family
Turbo-Basic XL,Discontinued BASICs,BASIC programming language family
IBM BASIC,BASIC interpreters,BASIC programming language family
IBM BASIC,Discontinued Microsoft BASICs,BASIC programming language family
Atari ST BASIC,BASIC interpreters,BASIC programming language family
Atari ST BASIC,Discontinued BASICs,BASIC programming language family
UBASIC,BASIC interpreters,BASIC programming language family
Vilnius BASIC,BASIC programming language,BASIC programming language family
Vilnius BASIC,Discontinued BASICs,BASIC programming language family
MSX BASIC,BASIC interpreters,BASIC programming language family
MSX BASIC,Discontinued Microsoft BASICs,BASIC programming language family
GW-BASIC,BASIC interpreters,BASIC programming language family
GW-BASIC,Discontinued Microsoft BASICs,BASIC programming language family
Dartmouth BASIC,BASIC compilers,BASIC programming language family
Dartmouth BASIC,Discontinued BASICs,BASIC programming language family
Visual Basic,BASIC interpreters,BASIC programming language family
Visual Basic,BASIC compilers,BASIC programming language family
Visual Basic,Microsoft BASIC,BASIC programming language family
ProvideX,BASIC compilers,BASIC programming language family
Atari BASIC,BASIC interpreters,BASIC programming language family
Atari BASIC,Discontinued BASICs,BASIC programming language family
Basic For Qt,BASIC interpreters,BASIC programming language family
Basic For Qt,BASIC compilers,BASIC programming language family
Tibbo BASIC,BASIC compilers,BASIC programming language family
Southampton BASIC System,BASIC interpreters,BASIC programming language family
QBasic,BASIC interpreters,BASIC programming language family
QBasic,Discontinued Microsoft BASICs,BASIC programming language family
Basic-256,BASIC programming language,BASIC programming language family
Basic-256,BASIC interpreters,BASIC programming language family
TI-BASIC,BASIC interpreters,BASIC programming language family
YS MegaBasic,BASIC interpreters,BASIC programming language family
YS MegaBasic,BASIC extensions,BASIC programming language family
Commodore BASIC,BASIC interpreters,BASIC programming language family
Commodore BASIC,Discontinued Microsoft BASICs,BASIC programming language family
GLBasic,BASIC interpreters,BASIC programming language family
GLBasic,BASIC compilers,BASIC programming language family
Sinclair BASIC,BASIC interpreters,BASIC programming language family
Run BASIC,BASIC interpreters,BASIC programming language family
Family BASIC,BASIC interpreters,BASIC programming language family
Locomotive BASIC,BASIC interpreters,BASIC programming language family
STOS BASIC,BASIC interpreters,BASIC programming language family
STOS BASIC,BASIC compilers,BASIC programming language family
ScriptBasic,BASIC interpreters,BASIC programming language family
SuperBASIC,BASIC interpreters,BASIC programming language family
GFA BASIC,BASIC interpreters,BASIC programming language family
GFA BASIC,BASIC compilers,BASIC programming language family
Liberty BASIC,BASIC interpreters,BASIC programming language family
True BASIC,BASIC interpreters,BASIC programming language family
Tiny BASIC,BASIC interpreters,BASIC programming language family
Beta BASIC,BASIC interpreters,BASIC programming language family
Beta BASIC,BASIC extensions,BASIC programming language family
Chipmunk Basic,BASIC interpreters,BASIC programming language family
Mallard BASIC,BASIC interpreters,BASIC programming language family
AmigaBASIC,BASIC interpreters,BASIC programming language family
AmigaBASIC,Discontinued Microsoft BASICs,BASIC programming language family
Creative Basic,BASIC interpreters,BASIC programming language family
Monkey X,BASIC interpreters,BASIC programming language family
Monkey X,BASIC compilers,BASIC programming language family
TI BASIC (TI 99/4A),BASIC interpreters,BASIC programming language family
Phoenix Object Basic,Discontinued BASICs,BASIC programming language family
Gnome Basic,Discontinued BASICs,BASIC programming language family
Color BASIC,Discontinued Microsoft BASICs,BASIC programming language family
MBASIC,Discontinued Microsoft BASICs,BASIC programming language family
Applesoft BASIC,Discontinued Microsoft BASICs,BASIC programming language family
Altair BASIC,Discontinued Microsoft BASICs,BASIC programming language family
Atari Microsoft BASIC,Discontinued Microsoft BASICs,BASIC programming language family
QuickBASIC,BASIC compilers,BASIC programming language family
QuickBASIC,Discontinued Microsoft BASICs,BASIC programming language family
Blitz BASIC,BASIC compilers,BASIC programming language family
Basic4android,BASIC compilers,BASIC programming language family
PureBasic,BASIC compilers,BASIC programming language family
XBasic,BASIC compilers,BASIC programming language family
FutureBASIC,BASIC compilers,BASIC programming language family
Turbo Basic,BASIC compilers,BASIC programming language family
SBASIC,BASIC compilers,BASIC programming language family
XBLite,BASIC compilers,BASIC programming language family
HP BASIC for OpenVMS,BASIC compilers,BASIC programming language family
QB64,BASIC compilers,BASIC programming language family
NS Basic,BASIC compilers,BASIC programming language family
PowerBASIC,BASIC compilers,BASIC programming language family
Microsoft BASIC,Microsoft BASIC,BASIC programming language family
Visual Basic .NET,Microsoft BASIC,BASIC programming language family
Microsoft Small Basic,Microsoft BASIC,BASIC programming language family
