name,depth,measure
C POSIX library,6,Abandon Type (rescue none)
Cairo (graphics),6,Abandon Type (rescue none)
Calligra Suite,6,Abandon Type (rescue none)
Clutter (software),6,Abandon Type (rescue none)
Diesel (game engine) games,6,Abandon Type (rescue none)
Enigma Engine games,6,Abandon Type (rescue none)
Free PDF readers,6,Abandon Type (rescue none)
GStreamer,6,Abandon Type (rescue none)
GTK+,6,Abandon Type (rescue none)
KDE Extragear,6,Abandon Type (rescue none)
KDE Software Compilation,6,Abandon Type (rescue none)
Process.h,6,Abandon Type (rescue none)
Silent Storm engine games,6,Abandon Type (rescue none)
Simple DirectMedia Layer,6,Abandon Type (rescue none)
Software that uses FLTK,6,Abandon Type (rescue none)
Software that uses QML,6,Abandon Type (rescue none)
Software that uses Qt,6,Abandon Type (rescue none)
Software that uses Scintilla,6,Abandon Type (rescue none)
Software that uses wxWidgets,6,Abandon Type (rescue none)
Tk (software),6,Abandon Type (rescue none)
