name,measure,details
ALGOL 60, Abandon Type (selective rescue), abandon subtype 'ALGOL 60 implementation'; abandon instance 'ALGOL Bulletin'; collapse hierarchy
ALGOL 68, Abandon Type (selective rescue), abandon subtype 'ALGOL 68 implementation'; abandon instance 'Comparison of ALGOL 68 and C++' and 'Andrey Terekhov'; collapse hierarchy
ActionScript, Abandon Type (rescue none), members are irrelevant or reachable otherwise
Ada (programming language), Abandon Type (selective rescue), abandon subtype 'Free software programmed in Ada'; 
    abandon instance 'Ada Conformity Assessment Test Suite' and 'AdaCore' and 'Advanced Computer Techniques' and 'APSE' and 'John Barnes (computer scientist)' and 'Beaujolais effect' and 'Grady Booch' and 'Cluster (spacecraft)' and 'GNAT' and 'GNAT Modified General Public License' and 'GNAT Programming Studio' and 'GNAVI' and 'High Order Language Working Group' and 'Jean Ichbiah' and 'Intermetrics' and 'Ada Lovelace' and 'David Luckham' and 'PolyORB' and 'Rational R1000' and 'Ravenscar profile' and 'Steelman language requirements' and 'Thomson Software Products'
Ajax (programming), Abandon Type (rescue none), Irrelevant
Atom (standard), Abandon Type (selective rescue), Abandon instance 'Comparison of feed aggregators' 
    and 'Content Management Interoperability Services' and 'ESobi' and 'Feed icon' and 'Liferea' and 'NetNewsWire' and 'NewsFire' and 'Safari (web browser)' and 'Sage (Mozilla Firefox extension)' and 'Simple List Extensions' and 'Virtuoso Universal Server' and 'WebFetch'
BibTeX, Abandon Type (rescue none), Relevant instances are reachable otherwise
C (programming language), Abandon Type (selective rescue), Abandon Instance:'C preprocessor' 
    'F2c'  'BCX' 'C standard library' 'C string handling' 'C data types' 'Comparison of Pascal and C' 'Comparison of Object Pascal and C' 'MISRA C' 'Undefined behavior' 'Include directive' 'The lexer hack' 'Operators in C and C++' 'Sizeof' 'Type qualifier' 'Wide character' 'Sequence point' 'Compatibility of C and C++' 'Typedef' 'Comma operator' 'Variadic macro' 'C alternative tokens' 'Dennis Ritchie' 'Long double' 'GNU cflow' 'The C Programming Language' 'Restrict' 'Union type' 'Translation unit (programming)' 'Volatile (computer programming)' 'Digraphs and trigraphs' 'C Primer Plus' 'Linkage (software)' 'C Traps and Pitfalls' 'Struct (C programming language)' 'Blocks (C language extension)' 'Bitwise operations in C' 'Duff's device' 'The Power of 10: Rules for Developing Safety-Critical Code' 'X Macro' 'Flexible array member' 'Brian Kernighan' 'Storage class specifier' 'C syntax' 'Painted blue' 'Escape sequences in C' 'Static (keyword)' 'Internal linkage'; Abandon subtypes: 'C software' 'C libraries' 'C compilers' 'C headers' 'C language contests'; Collapse Hierarchy
C standard library,,abandoned through C (programming language) process
C++, Abandon Type (selective rescue),Abandon instances: 'Inner class' 
    'CodeSynthesis XSD' 'Comparison of Java and C++' 'Name mangling' 'OpenFOAM' 'Lourdes (C++ library)' 'Libt2n' 'Dune (software)' 'Boost (C++ libraries)' 'Functional (C++)' 'Input/output (C++)' 'C++ string handling' 'Stack (C++)' 'C dynamic memory allocation' 'High Integrity C++' 'C++/CX' 'Bjarne Stroustrup' 'Alexander Stepanov' 'Export (C++)' 'Dominance (C++)' 'Assignment operator (C++)' 'Database Management Library' 'One Definition Rule' 'Trait (computer programming)' 'Auto-linking' 'Delete (C++)' 'Decltype' 'Opaque pointer' 'Placement syntax' 'Virtual function' 'As-if rule' 'Destructor (computer programming)' 'Curiously recurring template pattern' 'Argument-dependent name lookup' 'Erase–remove idiom' 'Edison Design Group' 'Scott Meyers' 'ACCU (organisation)' 'Run-time type information' 'Substitution failure is not an error' 'Andrei Alexandrescu' 'Precompiled header' 'Reference (C++)' 'Special member functions' 'Static cast' 'Pete Becker' 'Prefix header' 'Single Compilation Unit' 'Resource Acquisition Is Initialization' 'Concepts (C++)' 'Header-only' 'Template metaprogramming' 'Typename' 'Mentat (computing)' 'Plain Old C++ Object' 'Pragma once' 'Copy elision' 'Most vexing parse' 'ObjectCenter' 'CFLAGS' 'POCO C++ Libraries' 'Herb Sutter' 'Partial template specialization' 'C++ Report' 'New and delete (C++)' 'Exception safety' 'Class implementation file' 'Template (C++)' 'Return value optimization' 'Outline of C++' 'Expression templates' 'Rick Mascitti' 'Rule of three (C++ programming)' 'Barton–Nackman trick' 'David Abrahams (computer programmer)' 'Virtual inheritance' 'Passive data structure' 'Copy constructor (C++)' 'Loki (C++)' 'Circular dependency' 'C++ classes' 'GNU E' 'Seekg'; Abandon Subtypes : 'C++ libraries' 'C++ software' 'C++ compilers' 'Books about C++'; Collapse Hierarchy
C++ Standard Library, Abandon Type (rescue none), 
COBOL, Abandon Type (selective rescue), Abandon instances: 'CODASYL' 
    'Data Base Task Group' 'COBOL' 'BLIS/COBOL' 'Indexed file' 'Common Business Oriented Language' '88 level' 'IBM COBOL' 'RM/COBOL' 'Jean E. Sammet' 'PICTURE' 'CoBoL' 'COBOL 85' 'OO COBOL' 'Picture clause' 'ADD 1 TO COBOL' 'Air Force Materiel Command' 'GnuCOBOL' 'Grace Hopper' 'X3J4' 'COBOL programming language' 'COBOL 60' 'COBOL68' 'COBOL-74' 'COBOL ReSource' 'Common Business-Oriented Language' 'COBOL 74' 'O-O COBOL' 'Cobol' 'ISO/IEC 1989' 'Burroughs Medium Systems' 'Year 2000 problem' 'Betty Holberton' 'COBOL 1974' 'COBOL language' 'ADD 1 TO COBOL GIVING COBOL' 'COBOL85' 'Microsoft Sort' 'Named condition' 'COBOL 68' 'Common Ordinary Business-Oriented Language' 'MF-COBOL';Abandon subtypes:
CSS frameworks, Abandon Type (rescue none)
Cascading Style Sheets, Abandon Type (selective rescue), Abandon instances: 'Conditional comment' 'Bootstrap (front-end framework)' 'Cascade Framework' 'Foundation (framework)' 'Dynamic Cascading Style Sheets' 'X11 color names' 'CSS Animations' 'Template:CSS' 'Fahrner Image Replacement' 'Tableless web design' 'CSS Zen Garden' 'Stylish' 'CSS Working Group' 'YAML (framework)' 'CSS frameworks' 'Faux columns' 'Cassowary (software)' 'Comparison of layout engines (Cascading Style Sheets)' 'Z-index' 'The Zen of CSS Design' 'Blueprint (CSS framework)' 'OOCSS' 'CSS Flex Box Layout' 'Implicit animation' 'Spacer GIF' 'Aural Cascading Style Sheets' 'Internet Explorer box model bug' 'Media queries' 'CSSTidy' 'Holy Grail (web design)' 'CSS filter';Abandon subtypes:'Responsive web design''Acid tests''Web colors'
