typename,howManyDistantTypes,howManyReachableTypes,difference, measure
Java (programming language) libraries,2,1,1, Abandon Type (rescue none)
Parser generators,2,1,1, Abandon Type (rescue none)
Proof assistants,2,1,1, Abandon Type (rescue none)
Python libraries,2,1,1, Abandon Type (rescue none)
Software for modeling software,2,1,1, Abandon Type (rescue none)
Spreadsheet software,4,3,1, Abandon Type (rescue none)
Instant messaging clients programmed in Java,3,1,2, Abandon Type (rescue none)
Java platform software,3,1,2, Abandon Type (rescue none)
PDF software,3,1,2, Abandon Type (rescue none)
Process termination functions,3,1,2, Abandon Type (rescue none)
Concept- and mind-mapping software programmed in Java,4,1,3, Abandon Type (rescue none)
Hadoop,4,1,3, Abandon Type (rescue none)
Java platform games,4,1,3, Abandon Type (rescue none)
Programming games,4,1,3, Abandon Type (rescue none)
KDE software,5,1,4, Abandon Type (rescue none)
Process calculi,5,1,4, Abandon Type (rescue none)
KDE Frameworks,10,1,9, Abandon Type (rescue none)
KDE Platform,10,1,9, Abandon Type (rescue none)
C standard library,2,1,1, Abandon Type (rescue none)
PHP frameworks,2,1,1, Abandon Type (rescue none)
Computer algebra systems,3,1,2, Abandon Type (selective rescue): Abandon instances: 'Macsyma' 'Derive (computer algebra system)' 'MuMATH' 'Reduce (computer algebra system)' 'Fermat (computer algebra system)' 'Macaulay computer algebra system' 'FORM (symbolic manipulation system)' 'FORMAC (programming language)' 'Analytica (software)' 'ALTRAN' 'Mathematica' 'Speakeasy (computational environment)' 'WIRIS' 'TI-Nspire series' 'MuPAD' 'Computer algebra system' 'SIGSAM' 'Wolfram Alpha' 'TI InterActive!' 'Cambridge Algebra System' 'TI-92 series' 'HP 49/50 series' 'HP Prime' 'RunGEM' 'Gempack' 'General Algebraic Modeling System' 'Lisp Algebraic Manipulator' 'RegularChains' 'Tensor software' 'KANT (software)' 'Algebrator' 'Mathcad' 'AIMMS' 'MATHLAB' 'TI-89 series' 'SMath Studio' 'Schoonschip' 'Triangular decomposition' 'Symbolic Manipulation Program';Abandon subtypes:'Computer algebra system software for OS X''Computer algebra system software for Linux''Computer algebra system software for Windows''Free computer algebra systems';Remove instances:;Remove subtypes:;Collapse Hierarchy
Ecma standards, Abandon Type (rescue none)
Geographical databases, Abandon Type (rescue none)
