AAlib , Abandon Type (rescue none) "Free software programmed in C"
ACID64 Player , Abandon Type (rescue none) "Software written primarily in assembly language"
ADOdb , Abandon Type (rescue none) "PHP libraries"
ARPACK , Abandon Type (rescue none) "Free software programmed in Fortran"
ASM-One Macro Assembler , Abandon Type (rescue none) "Assemblers"
Aeolus (software) , Abandon Type (rescue none) "Free software programmed in Ruby"
Agavi , Abandon Type (rescue none) "Free software programmed in PHP"
Agilo for Trac , Abandon Type (rescue none) "Free software programmed in Python"
AmfPHP , Abandon Type (rescue none) "Software by programming language"
Architecture Design and Assessment System , Abandon Entity
Autocoder, Abandon Entity
Axiomatic semantics , Abandon Entity
BASIC Stamp ,Abandon Type (selective rescue) BASIC programming language, Abandon instances: 'Petit Computer' 'John G. Kemeny' 'Brutus2D' 'Basic-256' 'Blitz Research' 'Thomas E. Kurtz' 'Comparison of Visual Basic and Visual Basic .NET' 'Tymshare SuperBasic' 'BASIC extension';Abandon subtypes:'BASIC interpreters''BASIC compilers';Remove instances:;Remove subtypes:;Collapse Hierarchy
Babel Middleware , Abandon Entity
Beagle (software) , Abandon Entity
Biositemap , Abandon Entity
Blockly , Abandon Entity
COLA (software architecture) , Abandon Entity
CPN-AMI , Abandon Entity
Cadabra (computer program) , Abandon Type (rescue none) "Computer algebra systems"
Christmas Tree EXEC ,Abandon Type (selective rescue) REXX (programming language), Abandon instances: 'The Hessling Editor' 'ARexx' 'Mike Cowlishaw' 'VX-REXX' 'KEDIT' 'OoREXX' 'Christmas Tree EXEC' 'XEDIT' 'ZOC (software)' 'MAD (MUD)' 'E (PC DOS)';Abandon subtypes:;Remove instances:;Remove subtypes:;Collapse Hierarchy
CircuitLogix , Abandon Entity
Colin Moock , Abandon Entity
Colwiz , Abandon Entity
Comparison of C ... , Abandon Entity
Context management , Abandon Entity
Deductive classifier , Abandon Entity
Franz Lisp, Abandon Entity
Fresh (IDE) , Abandon Entity
Friendly interactive shell , Abandon Entity
Fudgets , Abandon Entity
