entityname,howManyDistantTypes,howManyReachableTypes,difference
3D Manufacturing Format,2,1,1
AAlib,2,1,1
ABAP,2,1,1
ACID64 Player,2,1,1
AMOS (programming language),2,1,1
ANIMAL (image processing),2,1,1
APMonitor,2,1,1
ARB assembly language,2,1,1
ARC Macro Language,2,1,1
ARPACK,2,1,1
Abstract Syntax Notation One,2,1,1
Action language,2,1,1
Actor-Lab,2,1,1
Additive Manufacturing File Format,2,1,1
Advanced Continuous Simulation Language,2,1,1
Agavi,2,1,1
Agilo for Trac,2,1,1
Algorithmic skeleton,2,1,1
Alloy (specification language),2,1,1
Amiga demos,2,1,1
AmigaOS,2,1,1
Amsynth,2,1,1
Apache CloudStack,2,1,1
Apache Hama,2,1,1
Apache Lenya,2,1,1
Apache Velocity,2,1,1
Apertium,2,1,1
Apollon (software),2,1,1
ArX,2,1,1
Archimedes (CAD),2,1,1
Architecture Design and Assessment System,2,1,1
Atari Logo,2,1,1
Augmented Reality Markup Language,2,1,1
AutoKey,2,1,1
Autocoder,2,1,1
Axiomatic semantics,2,1,1
B-Method,2,1,1
BASIC A+,2,1,1
BASIC Stamp,2,1,1
BLISS,2,1,1
BOS/360,2,1,1
Babel Middleware,2,1,1
BackupPC,2,1,1
Bacula,2,1,1
BareMetal,2,1,1
Barrow Area Information Database,2,1,1
Bcache,2,1,1
Beagle (software),2,1,1
Beehive Forum,2,1,1
BeerXML,2,1,1
Biositemap,2,1,1
BitBake,2,1,1
Bleem!,2,1,1
Blockly,2,1,1
Bonnie++,2,1,1
Bootmanager,2,1,1
Borland Turbo Debugger,2,1,1
Bricolage (software),2,1,1
Buildout,2,1,1
Business Process Modeling Language,2,1,1
COLA (software architecture),2,1,1
CPN-AMI,2,1,1
CRaSH,2,1,1
CSS box model,2,1,1
Cadabra (computer program),2,1,1
CamStudio,2,1,1
Cameleon (programming language),2,1,1
Canto (news aggregator),2,1,1
Catalyst (software),2,1,1
Caudium (web server),2,1,1
Cg (programming language),2,1,1
Check MK,2,1,1
CherryTemplate,2,1,1
Christmas Tree EXEC,2,1,1
CircuitLogix,2,1,1
Class Library for Numbers,2,1,1
ClearTalk,2,1,1
Clinical Document Architecture,2,1,1
CloudStore,2,1,1
Colwiz,2,1,1
Common Alerting Protocol,2,1,1
Comparison of Pascal and Delphi,2,1,1
Comparison of programming languages (object-oriented programming),2,1,1
Component diagram,2,1,1
Composer (software),2,1,1
Compound Document Format,2,1,1
Computation tree logic,2,1,1
Contao,2,1,1
Context management,2,1,1
Continuity of Care Document,2,1,1
Continuity of Care Record,2,1,1
Control Structure Diagram,2,1,1
Controlled image base,2,1,1
CoreASM,2,1,1
CosmicOS,2,1,1
Cowsay,2,1,1
Creole (markup),2,1,1
CsUnit,2,1,1
DIGITAL Command Language,2,1,1
DOS Wedge,2,1,1
DOS/360 and successors,2,1,1
DRAKON,2,1,1
DTED,2,1,1
Dancer (software),2,1,1
