toptype1name,toptype2name,entityname
Data modeling languages,Programming languages,XSLT/Muenchian grouping
Data modeling languages,Programming languages,Face Modeling Language
Data modeling languages,Programming languages,Digital Forensics XML
Data modeling languages,Programming languages,XL (XML programming language)
Data modeling languages,Programming languages,.QL
Data modeling languages,Programming languages,SQLf
Data modeling languages,Programming languages,Java Persistence Query Language
Data modeling languages,Programming languages,Schematron
Data modeling languages,Programming languages,SQL
Data modeling languages,Programming languages,XEE (Starlight)
Data modeling languages,Programming languages,Arbortext Command Language
Data modeling languages,Programming languages,Office Open XML
Data modeling languages,Programming languages,Open XML Paper Specification
Data modeling languages,Programming languages,MXML
Data modeling languages,Programming languages,XSLT
Data modeling languages,Programming languages,VoiceXML
Data modeling languages,Programming languages,EMML (Motorola)
Data modeling languages,Programming languages,Web Ontology Language
Data modeling languages,Programming languages,Auto-lead Data Format
Data modeling languages,Programming languages,FXML
Data modeling languages,Programming languages,EXSLT
Data modeling languages,Programming languages,Extensible Application Markup Language
Data modeling languages,Programming languages,Synchronized Multimedia Integration Language
Data modeling languages,Programming languages,XProc
Data modeling languages,Programming languages,XSL Formatting Objects
Data modeling languages,Programming languages,Enterprise Mashup Markup Language
Data modeling languages,Programming languages,SPARQL
Data modeling languages,Programming languages,QML
Data modeling languages,Programming languages,GtkBuilder
Data modeling languages,Programming languages,O:XML
Data modeling languages,Programming languages,POSXML
Data modeling languages,Programming languages,M Sharp (programming language)
Data modeling languages,Programming languages,ALFA (XACML)
Data modeling languages,Stylesheet languages,XSL
Data modeling languages,Transformation languages,XML transformation language
Data modeling languages,Transformation languages,XSLT
Markup languages,Programming languages,XSLT/Muenchian grouping
Markup languages,Programming languages,Face Modeling Language
Markup languages,Programming languages,Digital Forensics XML
Markup languages,Programming languages,XL (XML programming language)
Markup languages,Programming languages,Curl (programming language)
Markup languages,Programming languages,Troff macro
Markup languages,Programming languages,Nroff
Markup languages,Programming languages,Troff
Markup languages,Programming languages,Pic language
Markup languages,Programming languages,Eqn
Markup languages,Programming languages,Tbl
Markup languages,Programming languages,TYPSET and RUNOFF
Markup languages,Programming languages,Noweb
Markup languages,Programming languages,Refer (software)
Markup languages,Programming languages,Runoff (program)
Markup languages,Programming languages,Document Style Semantics and Specification Language
Markup languages,Programming languages,LOOM (ontology)
Markup languages,Programming languages,CycL
Markup languages,Programming languages,Contextual Query Language
Markup languages,Programming languages,CLIPS
Markup languages,Programming languages,TreeDL
Markup languages,Programming languages,Schematron
Markup languages,Programming languages,XEE (Starlight)
Markup languages,Programming languages,Arbortext Command Language
Markup languages,Programming languages,Office Open XML
Markup languages,Programming languages,Open XML Paper Specification
Markup languages,Programming languages,RDF query language
Markup languages,Programming languages,MXML
Markup languages,Programming languages,XSLT
Markup languages,Programming languages,VoiceXML
Markup languages,Programming languages,Interpress
Markup languages,Programming languages,PostScript
Markup languages,Programming languages,EMML (Motorola)
Markup languages,Programming languages,Web Ontology Language
Markup languages,Programming languages,Auto-lead Data Format
Markup languages,Programming languages,FXML
Markup languages,Programming languages,EXSLT
Markup languages,Programming languages,Extensible Application Markup Language
Markup languages,Programming languages,Synchronized Multimedia Integration Language
