entityname,subtypename,typename
ALGOL,ALGOL 60 dialect,Algol programming language family
Concurrent Pascal,Pascal programming language family,Algol programming language family
Vector Pascal,Pascal programming language family,Algol programming language family
NELIAC,ALGOL 58 dialect,Algol programming language family
Structured English,Structured English,Algorithm description languages
Natural language programming,Structured English,Algorithm description languages
Fortran,Fortran programming language family,Array programming languages
Fortress (programming language),Fortran programming language family,Array programming languages
FreeBASIC,Free software programmed in BASIC,BASIC programming language family
Gambas,Free software programmed in BASIC,BASIC programming language family
Turbo-Basic XL,Discontinued BASICs,BASIC programming language family
IBM BASIC,Discontinued Microsoft BASICs,BASIC programming language family
Atari ST BASIC,Discontinued BASICs,BASIC programming language family
Vilnius BASIC,Discontinued BASICs,BASIC programming language family
MSX BASIC,Discontinued Microsoft BASICs,BASIC programming language family
GW-BASIC,Discontinued Microsoft BASICs,BASIC programming language family
Dartmouth BASIC,Discontinued BASICs,BASIC programming language family
Atari BASIC,Discontinued BASICs,BASIC programming language family
QBasic,Discontinued Microsoft BASICs,BASIC programming language family
MacBASIC,Discontinued BASICs,BASIC programming language family
YS MegaBasic,BASIC extensions,BASIC programming language family
Commodore BASIC,Discontinued Microsoft BASICs,BASIC programming language family
Beta BASIC,BASIC extensions,BASIC programming language family
AmigaBASIC,Discontinued Microsoft BASICs,BASIC programming language family
Phoenix Object Basic,Discontinued BASICs,BASIC programming language family
Gnome Basic,Discontinued BASICs,BASIC programming language family
Color BASIC,Discontinued Microsoft BASICs,BASIC programming language family
MBASIC,Discontinued Microsoft BASICs,BASIC programming language family
Applesoft BASIC,Discontinued Microsoft BASICs,BASIC programming language family
Altair BASIC,Discontinued Microsoft BASICs,BASIC programming language family
Atari Microsoft BASIC,Discontinued Microsoft BASICs,BASIC programming language family
IBM Cassette BASIC,Discontinued Microsoft BASICs,BASIC programming language family
IBM Disk BASIC,Discontinued Microsoft BASICs,BASIC programming language family
IBM Advanced BASIC,Discontinued Microsoft BASICs,BASIC programming language family
Spec Sharp,C Sharp programming language family,C programming language family
C??,C Sharp programming language family,C programming language family
Polyphonic C Sharp,C Sharp programming language family,C programming language family
C++,C++ programming language family,Class-based programming languages
Embedded C++,C++ programming language family,Class-based programming languages
MetaQuotes Language MQL4/MQL5,C++ programming language family,Class-based programming languages
Query language,Query languages,Computer languages
ThingLab,Visual programming languages,Computer languages
Limnor,Visual programming languages,Computer languages
Tersus,Visual programming languages,Computer languages
Scriptol,Object-oriented programming languages,Computer languages
SAS language,Statistical programming languages,Computer languages
SQL,Data modeling languages,Computer languages
SQL,Query languages,Computer languages
Specification language,Specification languages,Computer languages
ThinBasic,BASIC programming language family,Computer languages
FortranM,Procedural programming languages,Computer languages
FortranM,Array programming languages,Computer languages
FortranM,Numerical programming languages,Computer languages
FortranM,Object-oriented programming languages,Computer languages
Object Query Language,Query languages,Computer languages
Architecture Analysis & Design Language,Software modeling language,Computer languages
RobotML,Robot programming languages,Computer languages
SPARQL,Data modeling languages,Computer languages
SPARQL,Query languages,Computer languages
SPARQL,Knowledge representation languages,Computer languages
.QL,Query languages,Data modeling languages
XML schema,XML-based standards,Data modeling languages
TREX,XML-based standards,Data modeling languages
XSIL,XML-based standards,Data modeling languages
Extensible Forms Description Language,XML markup languages,Data modeling languages
Regular Language description for XML,XML-based standards,Data modeling languages
RELAX NG,XML-based standards,Data modeling languages
Document Schema Definition Languages,XML-based standards,Data modeling languages
SQLf,Query languages,Data modeling languages
Document Structure Description,XML-based standards,Data modeling languages
Binary Format Description language,XML-based standards,Data modeling languages
Java Persistence Query Language,Query languages,Data modeling languages
EbXML,XML markup languages,Data modeling languages
EbXML,XML-based standards,Data modeling languages
SDEP,XML markup languages,Data modeling languages
Schematron,XML-based standards,Data modeling languages
SQL,Query languages,Data modeling languages
Mallard (documentation),Document-centric XML-based standards,Data modeling languages
QTI,XML-based standards,Data modeling languages
Darwin Information Typing Architecture,Document-centric XML-based standards,Data modeling languages
Darwin Information Typing Architecture,XML-based standards,Data modeling languages
Resource Description Framework,XML-based standards,Data modeling languages
EXtensible Server Pages,User interface markup languages,Data modeling languages
Office Open XML,Document-centric XML-based standards,Data modeling languages
Vector Markup Language,User interface markup languages,Data modeling languages
Vector Markup Language,XML-based standards,Data modeling languages
Schema for Object-Oriented XML,XML-based standards,Data modeling languages
Klip,XML-based standards,Data modeling languages
Open XML Paper Specification,Document-centric XML-based standards,Data modeling languages
Open XML Paper Specification,XML-based standards,Data modeling languages
SPARQL,Query languages,Data modeling languages
MUMPS,Persistent programming languages,Data-centric programming languages
JADE (programming language),Persistent programming languages,Data-centric programming languages
Dependent ML,ML programming language family,Declarative programming languages
Dependent ML,Functional languages,Declarative programming languages
